datetime_utc,soil moisture,ssm
2017-11-25,0.3527,47.0
2017-11-28,0.359,78.0
2017-11-29,0.3811,56.5
2017-11-30,0.3636,18.0
2017-10-12,0.361,73.0
2017-11-12,0.35950000000000004,78.5
2017-12-12,0.3567,34.0
2017-12-16,0.3867,57.0
2017-12-17,0.3798,5.0
2017-12-19,0.3638,66.0
2017-12-22,0.3625,59.5
2017-12-23,0.3569,79.0
2017-12-24,0.3563,68.5
2017-12-28,0.3695000000000001,50.5
2017-12-29,0.3655,47.5
2017-12-31,0.3647,60.0
2018-08-01,0.3541,67.5
2018-09-01,0.349,68.0
2018-10-01,0.3458,25.0
2018-11-01,0.3489,57.0
2018-01-15,0.3406,0.5
2018-01-16,0.3372,74.0
2018-01-17,0.3375,46.0
2018-01-21,0.3421,37.5
2018-01-22,0.3419,16.5
2018-01-24,0.3382,70.5
2018-01-27,0.3457,46.0
2018-01-28,0.34119999999999995,58.5
2018-02-02,0.3605,50.0
2018-06-02,0.3423,83.0
2018-07-02,0.33840000000000003,68.5
2018-08-02,0.3354,60.0
2018-09-02,0.3331,76.0
2018-11-02,0.32909999999999995,53.0
2018-12-02,0.3274,52.0
2018-02-14,0.33240000000000003,23.0
2018-02-15,0.3325,15.5
2018-02-17,0.3589,12.0
2018-02-20,0.3405,20.0
2018-02-21,0.3375,30.5
2018-01-03,0.2319,85.0
2018-04-03,0.2832,39.5
2018-05-03,0.29100000000000004,49.5
2018-06-03,0.295,72.0
2018-07-03,0.3036,61.0
2018-08-03,0.3037,49.5
2018-09-03,0.30510000000000004,61.5
2018-10-03,0.3085,55.5
2018-03-13,0.331,69.0
2018-03-22,0.3134,47.5
2018-03-23,0.3168,34.0
2018-03-28,0.3296,6.0
2018-03-29,0.3271,28.5
2018-01-04,0.3237,81.0
2018-04-04,0.3234,55.5
2018-05-04,0.343,52.0
2018-06-04,0.35710000000000003,69.5
2018-07-04,0.3442,59.5
2018-08-04,0.3347,42.5
2018-04-16,0.2932,51.5
2018-04-23,0.2607,75.5
2018-04-24,0.2795,40.0
2018-01-05,0.2806,80.0
2018-05-05,0.253,45.0
2018-06-05,0.2471,54.0
2018-07-05,0.2403,46.5
2018-11-05,0.2753,50.5
2018-12-05,0.2282,27.0
2018-05-24,0.1746,68.5
2018-05-28,0.1664,73.5
2018-05-29,0.16329999999999995,68.0
2018-05-30,0.1605,70.0
2018-04-06,0.1466,31.0
2018-11-06,0.1297,36.5
2018-12-06,0.1288,68.0
2018-06-14,0.1482,59.5
2018-06-15,0.1341,57.5
2018-06-16,0.1295,59.5
2018-06-17,0.1902,70.0
2018-06-20,0.1437,63.5
2018-06-21,0.13570000000000002,40.0
2018-06-22,0.343,94.0
2018-06-23,0.1924,69.5
2018-06-26,0.1401,59.0
2018-06-27,0.13390000000000002,65.0
