,soil moisture,ssm
2017-05-19,0.4188,8.5
2017-05-20,0.4182,20.0
2017-05-21,0.4182,28.0
2017-05-22,0.4182,16.0
2017-05-23,0.4149000000000001,30.5
2017-05-25,0.4101,52.5
2017-05-26,0.4063000000000001,58.5
2017-05-27,0.4012,59.0
2017-05-28,0.4006,35.5
2017-05-29,0.4037,55.0
2017-05-31,0.3997,59.5
2017-06-01,0.1215,50.0
2017-06-02,0.1347,71.5
2017-06-03,0.1333,67.0
2017-06-04,0.15869999999999998,62.0
2017-06-06,0.3826,81.0
2017-06-07,0.3483,92.5
2017-06-08,0.3478,85.5
2017-06-09,0.338,86.5
2017-06-10,0.3301,92.5
2017-06-12,0.1221,94.0
2017-06-13,0.3538,82.0
2017-06-14,0.35090000000000005,81.5
2017-06-15,0.3479,74.0
2017-06-16,0.3472,75.0
2017-06-18,0.345,78.0
2017-06-19,0.3451,81.0
2017-06-20,0.3442,79.0
2017-06-21,0.34130000000000005,62.0
2017-06-22,0.3427,69.0
2017-06-24,0.33880000000000005,78.0
2017-06-25,0.3367,75.5
2017-06-26,0.3417,86.5
2017-06-27,0.3417,87.0
2017-06-28,0.3447,85.0
2017-06-30,0.3403,83.0
2017-07-01,0.1148,83.0
2017-07-02,0.1329,71.5
2017-07-03,0.1356,60.0
2017-07-04,0.1611,91.5
2017-07-06,0.3791,81.0
2017-07-07,0.3456,67.5
2017-07-08,0.3491,65.0
2017-07-09,0.3375,70.5
2017-07-10,0.3296,82.0
2017-07-12,0.1249,89.5
2017-07-13,0.3428,98.0
2017-07-14,0.3553,98.0
2017-07-15,0.3731,93.0
2017-07-18,0.3588,94.5
2017-07-19,0.3589,70.5
2017-07-20,0.3553,72.0
2017-07-21,0.3518,69.5
2017-07-22,0.34869999999999995,77.0
2017-07-24,0.34490000000000004,80.0
2017-07-25,0.3427,79.0
2017-07-26,0.3401,74.0
2017-07-27,0.3383,66.0
2017-07-28,0.33590000000000003,72.0
2017-07-30,0.3322,99.5
2017-07-31,0.34119999999999995,67.5
2017-08-01,0.1177,87.5
2017-08-02,0.1303,99.5
2017-08-03,0.1363,83.5
2017-08-05,0.1875,72.0
2017-08-06,0.3737,71.0
2017-08-07,0.3444,71.0
2017-08-08,0.3478,72.5
2017-08-11,0.3029,80.0
2017-08-12,0.1268,62.0
2017-08-13,0.3433,56.5
2017-08-15,0.3429,77.5
2017-08-17,0.3452,73.0
2017-08-19,0.3395,67.0
2017-08-24,0.3501,52.5
2017-08-25,0.3494,80.5
2017-08-27,0.3522,74.5
2017-08-29,0.3472,78.0
2017-08-30,0.3472,65.0
2017-08-31,0.3457,63.5
2017-09-01,0.1201,60.5
2017-09-04,0.1333,71.0
2017-09-05,0.14400000000000002,60.0
2017-09-06,0.3684000000000001,69.0
2017-09-07,0.342,45.0
2017-09-08,0.3454,54.0
2017-09-10,0.33,89.0
2017-09-12,0.121,70.5
2017-09-13,0.3435,79.5
2017-09-17,0.34119999999999995,68.0
2017-09-18,0.3404,85.5
2017-09-20,0.33990000000000004,67.5
2017-09-22,0.3385,63.0
2017-09-24,0.33740000000000003,57.5
2017-09-25,0.33590000000000003,61.0
2017-09-28,0.3345,52.5
2017-09-29,0.33380000000000004,47.5
2017-09-30,0.3331,62.5
2017-10-01,0.1232,60.0
2017-10-02,0.1335,71.5
2017-10-04,0.134,52.5
2017-10-05,0.3131,55.0
2017-10-06,0.3641,58.0
2017-10-07,0.339,73.5
2017-10-08,0.3454,45.5
2017-10-10,0.3294,57.5
2017-10-11,0.1374,67.0
2017-10-12,0.1207,53.0
2017-10-13,0.33159999999999995,26.5
2017-10-14,0.3309,79.0
2017-10-16,0.33159999999999995,76.5
2017-10-17,0.339,71.5
2017-10-18,0.3387,70.5
2017-10-19,0.338,70.0
2017-10-20,0.3395,62.5
2017-10-22,0.2967,33.0
2017-10-23,0.3113,5.0
2017-10-24,0.1826,3.5
2017-10-25,0.13,25.5
2017-10-26,0.2104,31.0
2017-10-28,0.1914,22.0
2017-10-29,0.2283,6.5
2017-10-30,0.1269,9.5
2017-10-31,0.1251,3.5
2017-11-01,0.1185,4.0
2017-11-03,0.1266,18.5
2017-11-04,0.1354,25.5
2017-11-05,0.3591,20.0
2017-11-06,0.3604,8.0
2017-11-07,0.33880000000000005,37.5
2017-11-09,0.3483,22.5
2017-11-10,0.33159999999999995,17.5
2017-11-11,0.1317,26.0
2017-11-12,0.1221,12.5
2017-11-13,0.1283,18.5
2017-11-15,0.1295,19.0
2017-11-16,0.1279,13.5
2017-11-17,0.1325,18.0
2017-11-18,0.1295,10.5
2017-11-21,0.1284,13.0
2017-11-22,0.1274,16.5
2017-11-23,0.1274,31.5
2017-11-24,0.1259,20.0
2017-11-25,0.1244,18.5
2017-11-27,0.12710000000000002,11.0
2017-11-28,0.1229,11.0
2017-11-29,0.1251,24.0
2017-11-30,0.1336,12.5
2017-12-01,0.1177,17.0
2017-12-03,0.1273,15.5
2017-12-04,0.1347,17.5
2017-12-05,0.287,23.0
2017-12-06,0.35729999999999995,15.5
2017-12-07,0.3369,11.5
2017-12-10,0.33240000000000003,12.5
2017-12-11,0.1303,15.5
2017-12-12,0.1292,9.0
2017-12-13,0.1199,12.0
2017-12-15,0.1221,6.0
2017-12-16,0.1257,14.5
2017-12-17,0.1223,22.5
2017-12-18,0.1177,8.5
2017-12-19,0.1216,11.5
2017-12-21,0.125,16.5
2017-12-22,0.1199,9.0
2017-12-23,0.1221,15.0
2017-12-24,0.1185,6.0
2017-12-25,0.1206,8.5
2017-12-27,0.1227,11.5
2017-12-28,0.1244,16.5
2017-12-29,0.1214,23.0
2017-12-30,0.1192,6.5
2017-12-31,0.1162,6.0
2018-01-02,0.12,7.0
2018-01-03,0.111,6.5
2018-01-04,0.1126,6.5
2018-01-05,0.4034,8.0
2018-01-06,0.3492,6.5
2018-01-08,0.32280000000000003,6.0
2018-01-09,0.3153,13.5
2018-01-10,0.3195,13.0
2018-01-14,0.1185,8.0
2018-01-15,0.1187,14.0
2018-01-16,0.1171,18.5
2018-01-17,0.1201,13.5
2018-01-18,0.1246,23.5
2018-01-20,0.1268,20.5
2018-01-21,0.12539999999999998,22.5
2018-01-22,0.1284,37.5
2018-01-23,0.13720000000000002,32.0
2018-01-24,0.1307,26.0
2018-01-26,0.1178,16.0
2018-01-27,0.1265,21.0
2018-01-28,0.1351,24.5
2018-01-30,0.1209,17.0
2018-02-01,0.1156,15.0
2018-02-03,0.1135,36.0
2018-02-04,0.1141,22.5
2018-02-05,0.4042,26.5
2018-02-07,0.3417,18.0
2018-02-08,0.3055,10.0
2018-02-09,0.3122,17.5
2018-02-10,0.3185,9.5
2018-02-13,0.1215,14.0
2018-02-14,0.1169,12.5
2018-02-15,0.1288,27.0
2018-02-16,0.1215,19.0
2018-02-17,0.1365,26.0
2018-02-21,0.1319,28.5
2018-02-22,0.1419,25.5
2018-02-23,0.1309,18.5
2018-02-25,0.1286,20.0
2018-02-26,0.1438,20.0
2018-02-27,0.1226,18.5
2018-02-28,0.1248,14.0
2018-03-01,0.1163,7.0
2018-03-05,0.4027000000000001,11.0
2018-03-06,0.34630000000000005,15.5
2018-03-07,0.3378,19.0
2018-03-09,0.3093,20.0
2018-03-10,0.3189,14.0
2018-03-13,0.1315,15.5
2018-03-16,0.132,12.0
2018-03-17,0.1195,22.5
2018-03-18,0.1094,16.5
2018-03-22,0.1118,11.5
2018-03-23,0.1178,23.5
2018-03-24,0.1231,9.5
2018-03-28,0.1118,14.5
2018-03-29,0.1113,18.5
2018-03-30,0.1113,8.0
2018-03-31,0.1125,7.5
2018-04-02,0.1325,12.0
2018-04-03,0.1148,12.0
2018-04-04,0.1155,24.5
2018-04-05,0.4012,11.0
2018-04-06,0.3479,8.0
2018-04-08,0.307,15.5
2018-04-09,0.3108,12.5
2018-04-16,0.1132,15.0
2018-04-17,0.1174,27.0
2018-04-24,0.399,11.5
2018-04-27,0.4097,26.0
2018-04-28,0.4071,14.5
2018-05-02,0.1322,33.5
2018-05-03,0.1197,38.5
2018-05-04,0.1119,55.0
2018-05-05,0.399,49.5
2018-05-06,0.34840000000000004,63.5
2018-05-23,0.3704,68.0
2018-05-24,0.3683,81.5
