datetime_utc,soil moisture,ssm
2018-08-07,0.0836,23.0
2018-10-07,0.15289999999999998,51.5
2018-11-07,0.134,86.0
2018-12-07,0.1153,94.5
2018-07-14,0.1053,30.5
2018-07-15,0.1016,9.5
2018-07-16,0.0999,22.0
2018-07-20,0.0972,16.0
2018-07-21,0.0947,6.5
2018-07-22,0.0946,14.5
2018-07-26,0.09539999999999997,14.0
2018-07-27,0.0895,4.0
2018-07-28,0.1891,14.5
2018-02-08,0.1566,58.0
2018-06-08,0.06655,2.0
2018-07-08,0.06239,24.0
2018-08-08,0.1577,7.5
2018-10-08,0.1576,66.0
2018-08-13,0.06507,5.0
2018-08-14,0.06585,57.5
2018-08-15,0.1045,68.0
2018-08-19,0.0885,29.5
2018-08-20,0.0886,31.5
2018-08-21,0.098,37.5
2018-08-25,0.1363,55.0
2018-08-26,0.1289,57.0
2018-08-27,0.14880000000000002,60.0
2018-08-31,0.1386,75.5
2018-01-09,0.3239,64.0
2018-02-09,0.2438,57.5
2018-04-09,0.1494,74.5
2018-06-09,0.1182,0.0
2018-07-09,0.1044,51.0
2018-08-09,0.33990000000000004,14.5
2018-09-13,0.2079,43.0
2018-09-14,0.1813,72.0
2018-09-18,0.21850000000000006,48.0
2018-09-19,0.1854,45.5
2018-09-20,0.17559999999999998,49.0
2018-09-24,0.16649999999999998,43.5
2018-09-25,0.1603,42.5
2018-09-26,0.1514,51.0
2018-09-30,0.1754,71.5
2018-01-10,0.3063,81.0
2018-02-10,0.2589,53.0
2018-03-10,0.33409999999999995,49.5
2018-04-10,0.2873,54.5
2018-06-10,0.2154,4.0
2018-07-10,0.2085,53.0
2018-10-18,0.21420000000000006,55.5
2018-10-19,0.2099,52.5
2018-10-20,0.21170000000000005,62.0
2018-10-25,0.2361,70.0
2018-10-26,0.2354,63.5
2018-10-30,0.07497000000000001,86.5
2018-10-31,0.2136,80.0
2018-03-11,0.214,30.5
2018-04-11,0.1965,45.0
2018-11-11,0.2036,92.5
2018-12-11,0.2561,92.0
2018-11-13,0.2324,94.0
2018-11-18,0.2174,80.5
2018-11-19,0.20010000000000006,86.5
2018-11-23,0.1796,62.5
2018-11-24,0.1681,47.5
2018-11-25,0.0873,53.0
2018-11-29,0.05099,77.5
2018-11-30,0.1791,81.5
2018-09-12,0.27390000000000003,55.5
2018-11-12,0.2827,84.5
2018-12-12,0.2481,75.0
2018-12-17,0.1197,54.5
2018-12-18,0.1291,42.5
2018-12-19,0.1118,57.0
2018-12-23,0.104,46.5
2018-12-24,0.04994,50.0
2018-12-29,0.2031,90.5
2018-12-31,0.2353,49.0
