,soil moisture,soil_moisture
2017-09-22 05:00:00,0.33840000000000003,0.21252695
2017-09-23 05:00:00,0.3377000000000001,0.32596020000000003
2017-09-24 05:00:00,0.3377000000000001,0.20179066
2017-09-25 05:00:00,0.3355,0.24016084
2017-09-26 05:00:00,0.3346,0.18730743
2017-09-27 05:00:00,0.3346,0.20829973
2017-09-28 05:00:00,0.3346,0.23180085
2017-09-29 05:00:00,0.33380000000000004,0.21508053
2017-09-30 05:00:00,0.3333,0.2105859
2017-10-01 05:00:00,0.1231,0.20248854
2017-10-02 05:00:00,0.1342,0.2035411
2017-10-03 05:00:00,0.1266,0.19729881
2017-10-04 05:00:00,0.134,0.20162985
2017-10-05 05:00:00,0.3178,0.20170088
2017-10-06 05:00:00,0.3664,0.21330115
2017-10-07 05:00:00,0.3392,0.19436722
2017-10-08 05:00:00,0.3456,0.19530435
2017-10-09 05:00:00,0.3405,0.17564963
2017-11-04 05:00:00,0.1347,0.12837346
2018-05-29 05:00:00,0.3565,0.22610705
2018-05-30 05:00:00,0.3553,0.19091474
2018-06-01 05:00:00,0.1178,0.2259009
2018-06-02 05:00:00,0.1221,0.22947568
2018-06-03 05:00:00,0.1261,0.26605746
2018-06-04 05:00:00,0.1139,0.16579193
2018-06-17 05:00:00,0.3382,0.21681857
2018-06-18 05:00:00,0.33409999999999995,0.23544517
2018-06-19 05:00:00,0.342,0.22064547
2018-06-20 05:00:00,0.3671,0.24111886
2018-06-21 05:00:00,0.3648,0.2603024
2018-06-22 05:00:00,0.3659000000000001,0.22249515
2018-06-23 05:00:00,0.3648,0.22850159
2018-06-24 05:00:00,0.362,0.21935195
2018-06-25 05:00:00,0.35810000000000003,0.22766529
2018-06-26 05:00:00,0.3551,0.25223905
2018-06-27 05:00:00,0.3536,0.23495358
2018-06-28 05:00:00,0.353,0.24040738
2018-06-29 05:00:00,0.34990000000000004,0.22408634
2018-06-30 05:00:00,0.3486,0.21464229
2018-07-01 05:00:00,0.117,0.2190657
2018-07-02 05:00:00,0.1239,0.2844222
2018-07-03 05:00:00,0.12539999999999998,0.24064511
2018-07-04 05:00:00,0.111,0.24884138
2018-07-05 05:00:00,0.3966,0.2172701
2018-07-06 05:00:00,0.3464,0.24424864
2018-07-07 05:00:00,0.33659999999999995,0.23095024
2018-07-08 05:00:00,0.3071,0.21067427
2018-07-09 05:00:00,0.305,0.25671342
2018-07-13 05:00:00,0.3273,0.22086979999999998
2018-07-14 05:00:00,0.3261,0.22291748
2018-07-15 05:00:00,0.3247,0.2330771
2018-07-16 05:00:00,0.32270000000000004,0.22387706
2018-07-17 05:00:00,0.3185,0.21234539
2018-07-18 05:00:00,0.3144,0.21999876
2018-07-19 05:00:00,0.311,0.20620479
2018-07-20 05:00:00,0.31420000000000003,0.22337726
2018-07-21 05:00:00,0.3221,0.21963483
2018-07-22 05:00:00,0.3234,0.19863129999999998
2018-07-23 05:00:00,0.3332,0.21753000000000003
2018-07-24 05:00:00,0.3368,0.23122142
2018-07-25 05:00:00,0.3321,0.20073079
2018-07-26 05:00:00,0.3457,0.2565389
2018-07-27 05:00:00,0.3381,0.20534506
2018-07-28 05:00:00,0.3336,0.22558583
2018-07-29 05:00:00,0.3294,0.21236658
2018-07-30 05:00:00,0.3276,0.21683909
2018-07-31 05:00:00,0.3235,0.2068487
2018-08-01 05:00:00,0.1166,0.23440193
2018-08-02 05:00:00,0.1236,0.20160942
2018-08-03 05:00:00,0.1281,0.20068729999999999
2018-08-04 05:00:00,0.1157,0.21241218
2018-08-05 05:00:00,0.3975,0.21171531
2018-08-06 05:00:00,0.34490000000000004,0.22804905
2018-08-07 05:00:00,0.3389,0.18626423
2018-08-08 05:00:00,0.3061,0.20698118
2018-08-09 05:00:00,0.3019,0.18749432
2018-08-13 05:00:00,0.3174,0.24691637
2018-08-14 05:00:00,0.3173,0.2149439
2018-08-15 05:00:00,0.3159,0.22054721
2018-08-16 05:00:00,0.3141,0.20506293
2018-08-17 05:00:00,0.3114,0.22080722
2018-08-18 05:00:00,0.3128,0.20427768
2018-08-19 05:00:00,0.3123,0.21566549
2018-08-20 05:00:00,0.3158,0.23192436
2018-08-21 05:00:00,0.3161,0.23959506
2018-08-22 05:00:00,0.3145,0.22033633
2018-08-23 05:00:00,0.3138,0.26935592
2018-08-24 05:00:00,0.3134,0.20940237
2018-08-25 05:00:00,0.3134,0.23659196
2018-08-26 05:00:00,0.3149,0.20838850000000003
2018-08-27 05:00:00,0.3163,0.24189419
2018-08-28 05:00:00,0.3165,0.19206369
2018-08-29 05:00:00,0.3123,0.20562382
2018-08-30 05:00:00,0.3095,0.22052301
2018-08-31 05:00:00,0.3138,0.20390084
2018-09-01 05:00:00,0.1156,0.20863890000000002
2018-09-02 05:00:00,0.1251,0.19457129
2018-09-03 05:00:00,0.1306,0.19737156
2018-09-04 05:00:00,0.1133,0.21327657
2018-09-05 05:00:00,0.3966,0.20628829999999998
2018-09-06 05:00:00,0.34380000000000005,0.20466389999999998
2018-09-07 05:00:00,0.3362,0.21025093
2018-09-08 05:00:00,0.3018,0.20604275
2018-09-09 05:00:00,0.3043,0.19269645
2018-09-13 05:00:00,0.3007,0.18260466
2018-09-14 05:00:00,0.3004,0.19966292
2018-09-15 05:00:00,0.3042,0.19707124
2018-09-16 05:00:00,0.3173,0.21117415
2018-09-17 05:00:00,0.316,0.20600316
2018-09-18 05:00:00,0.3138,0.19746965
2018-09-19 05:00:00,0.3146,0.21534775
2018-09-20 05:00:00,0.31620000000000004,0.2320794
2018-09-21 05:00:00,0.3161,0.20507693
2018-09-22 05:00:00,0.3191,0.24208844
2018-09-23 05:00:00,0.3185,0.22712679
2018-09-24 05:00:00,0.319,0.20727837
