datetime_utc,soil moisture,Soil_Moisture
2015-10-22 05:00:00,0.1779,0.21163574
2015-10-24 05:00:00,0.1808,0.22317235
2015-10-25 05:00:00,0.1824,0.31043935
2015-10-27 05:00:00,0.1801,-0.07340525
2015-10-29 05:00:00,0.17489999999999994,0.29667038
2015-10-30 05:00:00,0.1714,0.1940107
2015-05-11 05:00:00,0.16699999999999998,0.31151998
2015-07-11 05:00:00,0.1974,0.25564182
2015-08-11 05:00:00,0.2856,0.19894484
2015-09-11 05:00:00,0.2852,0.23013626
2015-10-11 05:00:00,0.2808,0.29556203
2015-11-11 05:00:00,0.2954,0.31726122
2015-11-16 05:00:00,0.28850000000000003,0.40748623
2015-11-17 05:00:00,0.2984,0.010974371
2015-11-19 05:00:00,0.3604,0.18070963
2015-11-22 05:00:00,0.3128,0.16665198
2015-11-24 05:00:00,0.3221,0.26978123
2015-11-27 05:00:00,0.3675,0.23555468
2015-11-29 05:00:00,0.3687,0.34324774
2015-11-30 05:00:00,0.2213,0.33089378
2015-04-12 05:00:00,0.3458,0.29057378
2015-10-12 05:00:00,0.33380000000000004,0.17144756
2015-11-12 05:00:00,0.3375,0.40220335
2015-12-15 05:00:00,0.345,0.22552037
2015-12-17 05:00:00,0.3335,0.24451417
2015-12-18 05:00:00,0.3305,0.42203385
2015-12-20 05:00:00,0.33240000000000003,0.29630235
2015-12-22 05:00:00,0.33509999999999995,0.41316697
2015-12-23 05:00:00,0.3694,0.40455422
2015-12-25 05:00:00,0.3493,0.33392325
2015-12-27 05:00:00,0.3706,0.51222986
2015-12-28 05:00:00,0.3791,0.31570202
2015-12-30 05:00:00,0.3506,0.32482445
2016-02-01 05:00:00,0.3429,0.586445
2016-03-01 05:00:00,0.3402000000000001,0.152613
2016-04-01 05:00:00,0.3369,0.2582725
2016-05-01 05:00:00,0.33409999999999995,0.33689559999999996
2016-06-01 05:00:00,0.3317,0.19138959
2016-12-01 05:00:00,0.33270000000000005,0.19253643
2016-01-14 05:00:00,0.336,0.26174477
2016-01-15 05:00:00,0.3322,0.120812036
2016-01-17 05:00:00,0.3255,0.08642772
2016-01-20 05:00:00,0.31980000000000003,0.07672229
2016-01-22 05:00:00,0.3174,0.08318318400000001
2016-01-23 05:00:00,0.31670000000000004,0.1553533
2016-01-25 05:00:00,0.318,0.18643102
2016-01-27 05:00:00,0.37,0.44967118
2016-01-28 05:00:00,0.376,0.38620654
2016-01-30 05:00:00,0.3635,0.31377715
2016-01-02 05:00:00,0.35850000000000004,0.24118347
2016-02-02 05:00:00,0.3623,0.30510673
2016-05-02 05:00:00,0.3448,0.22520827
2016-06-02 05:00:00,0.3427,0.29689625
2016-07-02 05:00:00,0.34119999999999995,0.30271935
2016-09-02 05:00:00,0.34380000000000005,0.18189894
2016-10-02 05:00:00,0.3757,0.31273258
2016-11-02 05:00:00,0.3802,0.071638525
2016-02-14 05:00:00,0.355,0.29838017
2016-02-15 05:00:00,0.3517,0.2448487
2016-02-17 05:00:00,0.3443,0.120501384
2016-02-19 05:00:00,0.34,0.32058933
2016-02-22 05:00:00,0.3927000000000001,0.38508472
2016-02-25 05:00:00,0.3567,0.20994967
2016-02-27 05:00:00,0.3517,0.23014621
2016-02-28 05:00:00,0.34869999999999995,0.401783
2016-03-03 05:00:00,0.34450000000000003,0.36329046
2016-04-03 05:00:00,0.3439,0.24449179
2016-10-03 05:00:00,0.3569,0.17447273
2016-11-03 05:00:00,0.3526,0.20814686
2016-12-03 05:00:00,0.34869999999999995,0.17508692
2016-03-17 05:00:00,0.33509999999999995,0.47112516
2016-03-19 05:00:00,0.3309,0.18817234
2016-03-21 05:00:00,0.3271,0.32726994
2016-03-22 05:00:00,0.325,0.26816076
2016-03-24 05:00:00,0.3224,0.21688776
2016-03-26 05:00:00,0.32030000000000003,0.37394202
2016-03-27 05:00:00,0.3181,0.23242527
2016-03-29 05:00:00,0.3148,0.3223991
2016-01-04 05:00:00,0.33130000000000004,0.16345143
2016-02-04 05:00:00,0.3246,0.3311269
2016-03-04 05:00:00,0.3183,0.25955704
2016-05-04 05:00:00,0.3102,0.26782686
2016-06-04 05:00:00,0.31620000000000004,0.17818171
2016-08-04 05:00:00,0.3373,0.30142233
2016-09-04 05:00:00,0.3408,0.23872353
2016-12-04 05:00:00,0.3183,0.3089815
2016-04-13 05:00:00,0.313,0.3795033
2016-04-14 05:00:00,0.3418,0.22849157
2016-04-16 05:00:00,0.3371,0.23091833
2016-04-19 05:00:00,0.3245,0.14999844
2016-04-24 05:00:00,0.305,0.20308545
2016-04-26 05:00:00,0.3035,0.22275616
2016-04-27 05:00:00,0.31010000000000004,0.28094012
2016-04-29 05:00:00,0.3634000000000001,0.25327834
2016-01-05 05:00:00,0.33390000000000003,0.19743593
2016-07-05 05:00:00,0.2966,0.17904720000000002
2016-08-05 05:00:00,0.2901,0.1639499
2016-09-05 05:00:00,0.2831,0.26750409999999997
2016-10-05 05:00:00,0.2762,0.22890355
2016-11-05 05:00:00,0.26940000000000003,0.23965377
2016-05-14 05:00:00,0.2499,0.22297215
2016-05-15 05:00:00,0.2468,0.24050184
2016-05-17 05:00:00,0.2437,0.18743485
2016-05-19 05:00:00,0.2373,-0.043251116
2016-05-20 05:00:00,0.234,0.16296038
2016-05-22 05:00:00,0.2349,0.2634232
2016-05-24 05:00:00,0.2225,0.34193206
2016-05-25 05:00:00,0.2153,0.17762226
2016-05-27 05:00:00,0.2384,0.28035694
2016-03-06 05:00:00,0.1909,0.24695562
2016-05-06 05:00:00,0.1806,0.31223798
2016-06-06 05:00:00,0.17739999999999995,0.2976433
2016-12-06 05:00:00,0.1605,0.20789935
2016-06-14 05:00:00,0.1558,0.21801232
2016-06-17 05:00:00,0.1777,0.15872712
2016-06-19 05:00:00,0.16760000000000005,0.16830952
2016-06-20 05:00:00,0.161,0.27608213
2016-06-22 05:00:00,0.15439999999999998,0.1666224
2016-06-24 05:00:00,0.147,0.30108944
2016-06-25 05:00:00,0.1461,0.093684904
2016-06-27 05:00:00,0.1454,0.19892201
2016-06-29 05:00:00,0.1413,0.32885283
2016-06-30 05:00:00,0.1946,0.16270089
2016-01-07 05:00:00,0.2048,0.10195923
2016-02-07 05:00:00,0.209,0.23370978
2016-05-07 05:00:00,0.2365,-0.09682609
2016-06-07 05:00:00,0.3456,0.15464738
2016-07-07 05:00:00,0.2985,0.21251032
2016-08-07 05:00:00,0.28190000000000004,0.24570324
2016-09-07 05:00:00,0.3347,0.16192114
2016-07-13 05:00:00,0.32880000000000004,0.21263847
2016-07-15 05:00:00,0.3002,0.22627008
2016-07-17 05:00:00,0.2875,0.37312335
2016-07-18 05:00:00,0.2813,0.18443824
