,soil moisture,sm
2015-10-24,0.056,0.65
2015-10-25,0.0608,0.65999997
2015-10-26,0.05449,0.63
2015-10-27,0.05439,0.64
2015-10-29,0.04902,0.61
2015-10-30,0.054020000000000006,0.68
2015-10-31,0.05474,0.7
2015-11-01,0.2252,0.68
2015-11-02,0.2633,0.78
2015-11-03,0.2613,0.78
2015-11-04,0.2263,0.71
2015-11-05,0.1355,0.74
2015-11-06,0.1479,0.72999996
2015-11-07,0.16760000000000005,0.65999997
2015-11-08,0.1285,0.61
2015-11-09,0.06727999999999999,0.75
2015-11-10,0.0621,0.72999996
2015-11-11,0.07027,0.78999996
2015-11-12,0.1501,0.7
2015-11-13,0.06867999999999999,0.58
2015-11-14,0.086,0.77
2015-11-15,0.08470000000000001,0.65999997
2015-11-16,0.0877,0.78
2015-11-17,0.0955,0.5613357
2015-11-18,0.096,0.81
2015-11-19,0.0967,0.84
2015-11-20,0.0955,0.59
2015-11-21,0.0937,0.39
2015-11-24,0.09,0.6
2015-11-25,0.0957,0.81
2015-11-26,0.1004,0.79999995
2015-11-28,0.1127,0.82
2015-11-29,0.1069,0.69
2015-11-30,0.1097,0.95
2015-12-03,0.2593,0.81
2015-12-05,0.134,0.6855343
2015-12-06,0.1416,0.79999995
2015-12-07,0.1617,0.77
2015-12-08,0.1233,0.64
2015-12-09,0.06616000000000001,0.91999996
2015-12-10,0.057070000000000023,0.7044406
2015-12-11,0.06899,0.69
2015-12-12,0.1463,0.75
2015-12-15,0.13390000000000002,0.53
2015-12-16,0.1336,0.53
2015-12-17,0.132,0.65999997
2015-12-18,0.1407,0.81
2015-12-19,0.16190000000000002,0.75
2015-12-20,0.1632,0.84999996
2015-12-21,0.1612,0.71999997
2015-12-23,0.1612,0.7213645000000001
2015-12-24,0.15539999999999998,0.71
2015-12-25,0.1568,0.78
2015-12-26,0.1525,0.71
2015-12-28,0.1441,0.65999997
2015-12-30,0.138,0.59
2015-12-31,0.1381,0.63
2016-01-01,0.139,0.89
2016-01-02,0.1524,0.7
2016-01-03,0.1445,0.57
2016-01-11,0.069,0.9
2016-01-12,0.1548,0.5
2016-01-24,0.1059,0.17999999
2016-01-25,0.108,0.21
2016-01-26,0.1105,0.39
2016-01-27,0.123,0.39999998
2016-01-28,0.149,0.61
2016-01-29,0.1518,0.42999998
2016-01-30,0.1593,0.56
2016-01-31,0.15439999999999998,0.6
2016-02-01,0.1386,0.44
2016-02-02,0.1521,0.47
2016-02-03,0.1424,0.63
2016-02-04,0.1507,0.42
2016-02-05,0.1548,0.31
2016-02-06,0.092,0.45
2016-02-07,0.07003,0.7
2016-02-08,0.05437,0.59
2016-02-09,0.1092,0.57
2016-02-10,0.05204,0.6
2016-02-11,0.1014,0.82
2016-02-12,0.1499,0.52
2016-02-13,0.159,0.45999998
2016-02-14,0.1566,0.45999998
2016-02-18,0.1489,0.48
2016-02-19,0.1497,0.42999998
2016-02-20,0.15039999999999998,0.39999998
2016-02-21,0.151,0.44
2016-02-22,0.15460000000000002,0.31
2016-03-03,0.14300000000000002,0.21
2016-03-04,0.1558,0.37
2016-03-05,0.1491,0.42999998
2016-03-06,0.0875,0.3
2016-03-07,0.07212999999999999,0.26
2016-03-08,0.05385,0.35
2016-03-09,0.0941,0.22
2016-03-14,0.1693,0.39
2016-03-15,0.1703,0.54
2016-03-16,0.166,0.39
2016-03-17,0.16260000000000002,0.45999998
2016-03-18,0.1606,0.48999998
2016-03-19,0.1553,0.35
2016-03-21,0.1586,0.61
2016-03-23,0.162,0.59
2016-03-24,0.1629,0.52
2016-03-25,0.16399999999999998,0.56
2016-03-26,0.16579999999999998,0.57
2016-03-27,0.1625,0.55262524
2016-03-28,0.1599,0.6
2016-03-29,0.1566,0.6
2016-03-30,0.1521,0.6
2016-04-02,0.1543,0.6
2016-04-03,0.14529999999999998,0.58
2016-04-04,0.1528,0.63039976
2016-04-05,0.1459,0.65999997
2016-04-06,0.0827,0.71
2016-04-07,0.07737999999999999,0.61
2016-04-08,0.05387,0.65
2016-04-09,0.08349999999999999,0.68
2016-04-10,0.04093999999999998,0.6
2016-04-11,0.1089,0.6
2016-04-12,0.1404,0.61
2016-04-13,0.16079999999999994,0.64
2016-04-14,0.155,0.65
2016-04-15,0.1521,0.66999996
2016-04-17,0.1516,0.64
2016-04-18,0.1491,0.68
2016-04-20,0.1399,0.5463918000000001
2016-04-21,0.1328,0.59
2016-04-22,0.16449999999999998,0.58539605
2016-04-23,0.16390000000000002,0.66999996
2016-04-24,0.1602,0.55
2016-04-25,0.1574,0.59
2016-04-26,0.1555,0.57
2016-04-27,0.15380000000000002,0.63
2016-04-28,0.1528,0.65
2016-04-29,0.1625,0.68
2016-04-30,0.16210000000000002,0.63
2016-05-01,0.1311,0.64
2016-05-03,0.1613,0.62
2016-05-04,0.1508,0.62
2016-05-06,0.07571000000000001,0.56
2016-05-07,0.07242000000000001,0.55
