datetime_utc,soil moisture,ssm
2018-07-14,0.1187,69.5
2018-07-17,0.1098,66.5
2018-07-18,0.1065,73.5
2018-07-19,0.1064,66.0
2018-07-20,0.0979,64.5
2018-07-23,0.0948,55.5
2018-07-26,0.17010000000000006,72.5
2018-07-29,0.1724,55.5
2018-07-30,0.2082,89.0
2018-07-31,0.2035,75.5
2018-04-08,0.1891,50.0
2018-06-08,0.177,51.5
2018-07-08,0.1912,57.0
2018-11-08,0.1732,60.5
2018-08-13,0.1673,39.5
2018-08-16,0.1628,41.0
2018-08-17,0.1641,49.5
2018-08-18,0.16210000000000002,46.5
2018-08-19,0.1636,50.0
2018-08-22,0.16210000000000002,23.5
2018-08-23,0.1681,48.0
2018-08-24,0.1703,78.0
2018-08-25,0.1905,74.5
2018-08-28,0.1965,47.5
2018-08-29,0.1893,48.5
2018-08-30,0.1852,83.0
2018-08-31,0.1972,56.5
2018-01-09,0.1868,51.0
2018-11-09,0.195,67.5
2018-12-09,0.1852,45.0
2018-09-15,0.1822,42.0
2018-09-16,0.1875,37.0
2018-09-17,0.1814,37.5
2018-09-18,0.1831,36.0
2018-09-21,0.2024,31.5
2018-09-22,0.2122,50.5
2018-09-23,0.2045,37.0
2018-09-24,0.1936,32.0
2018-09-27,0.1951,28.5
2018-09-28,0.1861,8.5
2018-09-29,0.1832,21.0
2018-09-30,0.1892,21.5
2018-03-10,0.1834,61.5
2018-08-10,0.1877,59.5
2018-09-10,0.1937,37.0
2018-11-10,0.1898,74.0
2018-10-15,0.1822,29.5
2018-10-16,0.1906,17.0
2018-10-17,0.1874,57.0
2018-10-18,0.187,32.0
2018-10-21,0.1824,52.5
2018-10-22,0.2183,25.5
2018-10-24,0.1915,0.0
2018-06-11,0.1952,45.5
2018-07-11,0.1961,63.5
2018-08-11,0.1951,48.5
2018-09-11,0.1922,53.0
2018-11-11,0.1996,70.5
2018-12-11,0.2022,17.0
2018-11-14,0.1974,35.0
2018-11-15,0.1925,53.5
2018-11-16,0.1922,66.0
2018-11-17,0.1907,37.0
2018-02-12,0.1623,80.0
2018-06-12,0.1691,59.0
2018-07-12,0.1684,69.0
2018-08-12,0.1684,42.5
2018-09-12,0.1691,53.5
2018-12-14,0.1746,63.0
2018-12-21,0.1654,31.5
2018-12-23,0.1655,60.0
2018-12-26,0.16399999999999998,15.0
2018-12-28,0.16449999999999998,31.5
