,soil moisture,ssm
2018-07-18,0.4049,51.0
2018-07-19,0.4052,42.5
2018-07-20,0.4036,48.0
2018-07-23,0.4044,52.0
2018-07-24,0.4661,49.5
2018-07-25,0.4661,51.0
2018-07-26,0.4631,82.5
2018-07-29,0.4043,37.5
2018-07-30,0.3305,79.5
2018-07-31,0.3335,65.0
2018-08-01,0.3941,68.5
2018-08-04,0.3948,64.0
2018-08-05,0.4007,70.5
2018-08-06,0.4038000000000001,79.0
2018-08-07,0.4047,81.0
2018-08-10,0.3096,57.0
2018-08-11,0.3078,52.5
2018-08-12,0.2952,46.5
2018-08-13,0.3305,61.0
2018-08-16,0.3308,42.5
2018-08-17,0.33590000000000003,48.5
2018-08-18,0.335,44.5
2018-08-19,0.3329,63.5
2018-08-22,0.32520000000000004,17.0
2018-08-23,0.3298,45.0
2018-08-24,0.32909999999999995,74.0
2018-08-25,0.33340000000000003,80.0
2018-08-28,0.3292,54.5
2018-08-29,0.3284,48.5
2018-08-30,0.3322,77.5
2018-08-31,0.3283,76.5
2018-09-03,0.3948,47.0
2018-09-04,0.3945,27.0
2018-09-10,0.3107,39.0
2018-09-11,0.3078,55.0
2018-09-12,0.2981,90.5
2018-09-15,0.3243,47.0
2018-09-16,0.3225,39.5
2018-09-17,0.3211,42.0
2018-09-18,0.32170000000000004,60.0
2018-09-21,0.3236,32.0
2018-09-22,0.3298,58.0
2018-09-23,0.3224,51.0
2018-09-24,0.316,65.0
2018-09-27,0.31370000000000003,47.5
2018-09-28,0.3125,29.0
2018-09-29,0.3115,37.0
2018-09-30,0.3143,64.5
2018-10-03,0.3946,0.0
2018-10-04,0.395,19.0
2018-10-05,0.4043,55.5
2018-10-06,0.407,64.0
2018-10-15,0.32280000000000003,43.0
2018-10-16,0.32159999999999994,33.5
2018-10-17,0.315,52.5
2018-10-18,0.3175,65.0
2018-10-21,0.3129,53.0
2018-10-22,0.318,41.0
2018-10-24,0.3093,6.0
2018-11-02,0.3936,50.0
2018-11-03,0.395,14.5
2018-11-04,0.3947,49.5
2018-11-05,0.4046,28.5
2018-11-08,0.339,57.5
2018-11-09,0.3309,64.5
2018-11-10,0.3169,64.5
2018-11-11,0.31,73.5
2018-11-14,0.308,7.5
2018-11-15,0.3069,45.0
2018-11-16,0.31,52.5
2018-11-17,0.3093,55.5
2018-12-02,0.3938,49.5
2018-12-04,0.395,32.5
2018-12-09,0.3298,15.0
2018-12-11,0.3122,6.0
2018-12-14,0.3043,47.0
2018-12-21,0.3055,25.0
2018-12-23,0.3055,47.5
2018-12-26,0.3056,16.0
2018-12-28,0.3059,28.5
