network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M01,absolute,0.20045173945249667,0.746496552954294,0.011895588000000012,0.03203085982425948,0.029740056610834082,5,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M02,absolute,0.4053251170564696,0.7343166416601891,0.02663994333333336,0.036552102741002915,0.025027377688955403,3,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M03,absolute,1.0,1.0,0.0025537499999999935,0.005388189264251972,0.004744570000000017,2,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M04,absolute,0.5915462583118265,7.310807314343855e-05,-0.01011528615384616,0.016207385709708602,0.012663346223217426,39,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M05,absolute,0.4938201952982854,4.8566850825606964e-08,0.001793232568807368,0.03070170937303665,0.030649294859434774,109,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M06,absolute,0.573442067898628,7.627569707898402e-12,-0.004940983916666669,0.030653601134056244,0.030252767483670902,120,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M07,absolute,0.7552066528581762,1.0473031660567646e-16,-0.027611019166666667,0.0389450996875812,0.027465476698095067,84,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M08,absolute,0.6593349834122897,1.2240959954949268e-05,-0.04250330666666671,0.04630829508133385,0.018382794013402252,36,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M09,absolute,0.4683381103258456,0.24182353105054577,-0.06700019874999999,0.06958151201012387,0.018776585980297675,8,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M10,absolute,0.5547101157046128,0.00013775911976804004,0.011194898571428552,0.01832557571713928,0.014508651603096381,42,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M11,absolute,0.7089443310138641,3.483878725862022e-05,0.019393352592592533,0.03784156555781095,0.03249433733876544,27,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,M12,absolute,0.45373084044395573,0.25880613183537515,0.022118016249999983,0.0426415532501589,0.036456760974486926,8,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2015-M01,absolute,,,,,,0,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2016-M01,absolute,1.0,1.0,0.017244220000000005,0.042883294156355334,0.039263389999999995,2,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2017-M01,absolute,,,,,,0,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2018-M01,absolute,-0.03312001534757256,0.978911286676905,0.008329833333333314,0.021999439917156995,0.02036146441952271,3,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2015-M02,absolute,,,,,,0,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2016-M02,absolute,1.0,1.0,0.042599465,0.044611095859418755,0.013245204999999996,2,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2017-M02,absolute,,,,,,0,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2018-M02,absolute,,,-0.0052791000000000365,0.0052791000000000365,0.0,1,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2015-M03,absolute,,,,,,0,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2016-M03,absolute,,,0.007298320000000025,0.007298320000000025,0.0,1,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2017-M03,absolute,,,,,,0,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2018-M03,absolute,,,-0.00219082000000001,0.00219082000000001,0.0,1,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2015-M04,absolute,0.6532114667055013,0.015482390270512224,-0.011495880769230749,0.017022734589828573,0.01255460944256636,13,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2016-M04,absolute,,,,,,0,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2017-M04,absolute,0.5765741637707618,0.08102028400389821,-0.015486586000000024,0.017403360180134178,0.007939937003785603,10,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2018-M04,absolute,0.780019100176804,0.0003652133561908467,-0.0056364906249999625,0.0146813441284507,0.013556247225994404,16,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2015-M05,absolute,0.8396126217345783,3.5540966678885253e-09,-0.00027136451612902457,0.012383693983401016,0.012380720414172536,31,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2016-M05,absolute,0.6935734398669241,0.002016452742352539,-0.04067660294117645,0.05086255916290784,0.030535453128554907,17,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2017-M05,absolute,0.6191686563337933,0.00020429398778453123,0.005289465483870992,0.02133083985262327,0.020664614289001352,31,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2018-M05,absolute,0.6097471394057987,0.0003474770533016661,0.024380115666666646,0.036471300580043706,0.027125001863223003,30,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2015-M06,absolute,0.8056522765536704,7.830748204961264e-08,0.015546264000000032,0.021528759828191524,0.014892990813878095,30,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2016-M06,absolute,0.8048432761632567,8.255249542090083e-08,-0.03615567566666675,0.04563727679710615,0.027848306062353074,30,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2017-M06,absolute,0.8076227341099458,6.87882863702666e-08,0.0016428073333333293,0.01859450609348184,0.01852179367464392,30,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2018-M06,absolute,0.5448494191021439,0.001850447383241715,-0.0007973313333333731,0.02943754167533503,0.029426741624447167,30,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2015-M07,absolute,0.7024123753573221,1.0588808848497382e-05,-0.007331203870967723,0.019821605740457927,0.018416012161498546,31,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2016-M07,absolute,0.7644084059737283,5.574350144414974e-07,-0.033627619677419396,0.036479765345481384,0.01414059668091211,31,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2017-M07,absolute,0.9188837224789598,0.009602909229560122,-0.011231221666666708,0.014700072242617832,0.009484291423842927,6,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2018-M07,absolute,0.001149539844990416,0.9966288486024315,-0.06138842187499999,0.06739540240327353,0.027813700307513747,16,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2015-M08,absolute,0.6689921231719151,0.2168982259853721,-0.02124464000000001,0.0224004327134473,0.007102440215875107,5,False
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2016-M08,absolute,0.5869165666866225,0.0005192657822046616,-0.04593212387096782,0.04908570451885664,0.017310297074706098,31,True
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2017-M08,absolute,,,,,,0,
HOBE,2.04,H204,9.0984,55.9759,Agriculture,CCI Combined,Y2018-M08,absolute,,,,,,0,
