network,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
HOBE,ERA5 0-1,Y2015-M03,absolute,,,,,,0,
HOBE,ERA5 0-1,Y2016-M03,absolute,-0.5538498908241636,1.1921501021823702e-179,-0.06807228340501797,0.24822196994517226,0.2387054892445687,2232,True
HOBE,ERA5 0-1,Y2017-M03,absolute,-0.15524622923064207,1.9297593505912146e-13,-0.10379541538981524,0.1742411086118367,0.13995169050189274,2219,True
HOBE,ERA5 0-1,Y2018-M03,absolute,-0.4738189349598497,1.0335376537563869e-118,-0.0877755175627071,0.20835539342028966,0.18896409310745416,2113,True
HOBE,ERA5 0-1,Y2015-M04,absolute,-0.2900473928520878,4.0682330402749395e-43,0.004312535928670647,0.1927219265610451,0.1926736697404832,2159,True
HOBE,ERA5 0-1,Y2016-M04,absolute,-0.4720855612643081,2.5466498334564777e-120,-0.06104533065740736,0.2225796873234832,0.2140448196381948,2160,True
HOBE,ERA5 0-1,Y2017-M04,absolute,-0.2095810232990404,1.0664892995934395e-22,-0.10319705174521696,0.17739152547996898,0.14428486345838734,2143,True
HOBE,ERA5 0-1,Y2018-M04,absolute,-0.21987244879070392,6.7707852535115e-23,-0.056446793875573616,0.16562881938829185,0.15571340749315035,1961,True
HOBE,ERA5 0-1,Y2015-M05,absolute,-0.3817917283309968,2.257255870924047e-78,0.0019366126433691953,0.1993911849053021,0.19938177988324288,2232,True
HOBE,ERA5 0-1,Y2016-M05,absolute,-0.2061433076176779,7.953901325178076e-23,-0.029513853847533574,0.20298808456958212,0.20083101082326468,2230,True
HOBE,ERA5 0-1,Y2017-M05,absolute,-0.08687123875150785,4.157535761854873e-05,-0.061245492058558525,0.162209320941471,0.1502027080408279,2220,True
HOBE,ERA5 0-1,Y2018-M05,absolute,0.1581535071507134,5.136096047736585e-12,-0.02235447370047794,0.1473826640244696,0.1456774765038313,1883,True
HOBE,ERA5 0-1,Y2015-M06,absolute,-0.3206538598004152,7.6689687642023145e-53,0.0012251235740741162,0.20606544003742505,0.20606179813358386,2160,True
HOBE,ERA5 0-1,Y2016-M06,absolute,-0.11942586952965488,2.5896281447778868e-08,-0.016237932506018515,0.2050512191588418,0.20440726999414027,2160,True
HOBE,ERA5 0-1,Y2017-M06,absolute,-0.144096711875492,2.4451500877921587e-11,-0.07030773754113775,0.17481930322301042,0.16005814825001993,2127,True
HOBE,ERA5 0-1,Y2018-M06,absolute,0.036477522580583725,0.1167833566625469,0.012586589950270259,0.1576290508086272,0.15712573122265025,1850,False
HOBE,ERA5 0-1,Y2015-M07,absolute,-0.3665333092053835,6.323346165499249e-72,0.009096098974014422,0.19577435640985608,0.19556293005359754,2232,True
HOBE,ERA5 0-1,Y2016-M07,absolute,-0.26655579157171283,1.6694315539029165e-37,-0.037792940211236026,0.20021738636095526,0.1966181463431134,2225,True
HOBE,ERA5 0-1,Y2017-M07,absolute,-0.017267657166803296,0.4214084080214521,-0.0465215339493088,0.15201951083496426,0.14472621930218835,2170,False
HOBE,ERA5 0-1,Y2018-M07,absolute,0.05082620584259645,0.02102630671487104,0.008683894263949526,0.1445286482406226,0.14426752975868884,2061,True
HOBE,ERA5 0-1,Y2015-M08,absolute,-0.21871436578046832,1.8904920229839041e-25,0.01974232899414408,0.20872966029993967,0.20779391601973146,2220,True
HOBE,ERA5 0-1,Y2016-M08,absolute,-0.223771688484282,1.0771775460895042e-26,-0.0751949302736653,0.1850031752812045,0.16903223753256855,2229,True
HOBE,ERA5 0-1,Y2017-M08,absolute,0.018307027708100013,0.39118068948715135,-0.05126004900273223,0.15111432018440898,0.14215465219623866,2196,False
HOBE,ERA5 0-1,Y2018-M08,absolute,-0.25129008579802525,1.5995796944853444e-28,-0.033549908469214434,0.14585490988618205,0.14194385643490748,1884,True
HOBE,ERA5 0-1,Y2015-M09,absolute,-0.31035732660998305,1.9058965857236533e-49,-0.001386431615740702,0.21173664644217174,0.21173210728170666,2160,True
HOBE,ERA5 0-1,Y2016-M09,absolute,-0.05518884019509503,0.010701348392125946,-0.055549757434050495,0.17879967548679454,0.1699516060624353,2138,True
HOBE,ERA5 0-1,Y2017-M09,absolute,-0.17651998198061553,4.543539356015248e-16,-0.06655351177767133,0.16184542830818427,0.14752820996107482,2087,True
HOBE,ERA5 0-1,Y2018-M09,absolute,-0.033277248862629394,0.15542309471884627,-0.05181034652960523,0.13954896823224913,0.1295746986381504,1824,False
HOBE,ERA5 0-1,Y2015-M10,absolute,-0.17314076711875606,1.7846949837980716e-16,0.0037090796548632787,0.20596186921083492,0.2059284688840641,2231,True
HOBE,ERA5 0-1,Y2016-M10,absolute,-0.2547452586976501,2.128725490381532e-34,-0.06376291225806457,0.185260922701436,0.1739422332286147,2232,True
HOBE,ERA5 0-1,Y2017-M10,absolute,-0.11765898009349952,2.7183982550744582e-08,-0.07175925876971606,0.15304829871073178,0.1351828040805128,2219,True
HOBE,ERA5 0-1,Y2018-M10,absolute,-0.28064727770042763,4.072602694799229e-31,-0.053460090450395625,0.15058475932738016,0.140775667182651,1643,True
HOBE,ERA5 0-1,Y2015-M11,absolute,-0.2707397953409947,1.3401222503108626e-37,-0.016141653222222163,0.20534781513489506,0.20471241342900676,2160,True
HOBE,ERA5 0-1,Y2016-M11,absolute,-0.184219642882438,6.094260291177542e-18,-0.0759879683564815,0.18101713561394173,0.1642955630896055,2160,True
HOBE,ERA5 0-1,Y2017-M11,absolute,0.00454808280006491,0.8331477464708372,-0.07978851883612663,0.1567863654773362,0.13496576107120614,2148,False
HOBE,ERA5 0-1,Y2018-M11,absolute,-0.29630955462458125,1.0426281548808979e-33,-0.08126218721177939,0.16495919564927414,0.14355484373163174,1596,True
HOBE,ERA5 0-1,Y2015-M12,absolute,-0.2715723353897119,4.927287689207596e-39,-0.0345896439516129,0.2006382293217432,0.19763414582673985,2232,True
HOBE,ERA5 0-1,Y2016-M12,absolute,-0.3256487189518327,2.686530893896784e-56,-0.07903682825268818,0.19363455598908447,0.17676968363620774,2232,True
HOBE,ERA5 0-1,Y2017-M12,absolute,0.1139092681171887,8.007070953307964e-08,-0.06884708460144934,0.15331982759330434,0.1369928774612807,2208,True
HOBE,ERA5 0-1,Y2018-M12,absolute,-0.3951521269381367,5.222080807308163e-63,-0.0779941858635266,0.1716938510424055,0.15295648223353395,1656,True
HOBE,ERA5 0-1,No-Timefilter,absolute,0.346503689100644,0.0,-0.02410116992837177,0.10946032635516184,0.10677404485108867,293152,True
HOBE,ERA5 0-1,Y2015,absolute,0.3196929178819371,0.0,-0.03140813120400268,0.1062405917519898,0.101491835287796,65955,True
HOBE,ERA5 0-1,Y2016,absolute,0.19936972753278664,0.0,-0.018935902706731483,0.12608222566730504,0.12465215288113732,78972,True
HOBE,ERA5 0-1,Y2017,absolute,0.2674092513633468,0.0,-0.016994432450951752,0.10839458922135706,0.10705408090370387,78953,True
HOBE,ERA5 0-1,Y2018,absolute,0.5217466674191145,0.0,-0.03113256928377992,0.09189142981163914,0.08645691414003885,69272,True
HOBE,ERA5 0-1,winter,absolute,0.19995946881908816,0.0,-0.025097470912093883,0.12609450393826374,0.12357160222823615,77196,True
HOBE,ERA5 0-1,spring,absolute,0.226913373630174,0.0,-0.007351537781098372,0.1148210430472848,0.11458545640141035,62841,True
HOBE,ERA5 0-1,summer,absolute,0.4091066306040889,0.0,-0.0325717107351757,0.0925676810499101,0.08664790381043226,84743,True
HOBE,ERA5 0-1,fall,absolute,0.2834487808262617,0.0,-0.027872218653527736,0.1033562530144612,0.0995271544078261,68372,True
HOBE,ERA5 0-1,Y2015-winter,absolute,0.10242605692023717,1.455344490429294e-19,-0.006321072396651639,0.10939871980479296,0.10921595093521774,7765,True
HOBE,ERA5 0-1,Y2016-winter,absolute,0.14657676673320275,1.723688402330299e-108,-0.031392262452319734,0.1570708673054356,0.15390186228310052,22546,True
HOBE,ERA5 0-1,Y2017-winter,absolute,0.1860682063532793,1.1401600865556138e-179,-0.016698966805537563,0.11009420353508932,0.10882039404290553,23187,True
HOBE,ERA5 0-1,Y2018-winter,absolute,0.2648890564253331,0.0,-0.033478451548653886,0.11198518004551324,0.1068638097380514,23698,True
HOBE,ERA5 0-1,Y2015-spring,absolute,0.1275957008026988,6.578032101122967e-56,-0.02439831004629631,0.10848002731761623,0.10570070384683143,15120,True
HOBE,ERA5 0-1,Y2016-spring,absolute,0.2552062498009784,3.131874079056021e-250,0.024604590927560205,0.12712846079368695,0.12472473551408887,16952,True
